iter	RMSE
0	0.1118174524
1	0.1087362613
2	0.1058229735
3	0.1029196869
4	0.1000328944
5	0.0973075023
6	0.09465107051
7	0.09227583483
8	0.08999102104
9	0.08775500277
10	0.08548682917
11	0.08345191718
12	0.08148651407
13	0.079210965
14	0.07716891785
15	0.07551822315
16	0.07373965942
17	0.07234811303
18	0.07091696027
19	0.06945970316
20	0.06802104437
21	0.06681350721
22	0.06564687723
23	0.06434770369
24	0.06308738745
25	0.06205963712
26	0.0610144161
27	0.05997444007
28	0.05905972233
29	0.0583787039
30	0.05749296602
31	0.05667199802
32	0.05591757625
33	0.05523186073
34	0.05435694522
35	0.05356523014
36	0.05274898128
37	0.05192793379
38	0.05116938891
39	0.05052020095
40	0.04981569779
41	0.04923050488
42	0.04865666838
43	0.04802404863
44	0.0473155678
45	0.04651998757
46	0.04579856406
47	0.04529999941
48	0.04487532843
49	0.04409171136
50	0.04341742247
51	0.0429089953
52	0.04245326754
53	0.04169294488
54	0.04122558412
55	0.04075982452
56	0.04028613003
57	0.03959790885
58	0.03917141822
59	0.03888696713
60	0.03826406455
61	0.03770598537
62	0.03731170553
63	0.03678507539
64	0.0366114639
65	0.03638394849
66	0.03604613672
67	0.03560114223
68	0.03516240128
69	0.03496545016
70	0.03478708532
71	0.03450810254
72	0.03422586831
73	0.03403233039
74	0.03370724041
75	0.03347597873
76	0.03321881216
77	0.0328519969
78	0.03264512399
79	0.03249235183
80	0.0322594851
81	0.03212788871
82	0.03198424592
83	0.03167657677
84	0.03131217048
85	0.03112085191
86	0.03098187643
87	0.03079433225
88	0.03052389151
89	0.03033456515
90	0.03019716462
91	0.02999629558
92	0.02973266149
93	0.02958372639
94	0.02944915939
95	0.0293063102
96	0.02916070403
97	0.02903566348
98	0.0287343044
99	0.02862117516
100	0.02847282514
101	0.02833077457
102	0.02822545391
103	0.02812553913
104	0.02781454619
105	0.02764902044
106	0.02749464425
107	0.0273244887
108	0.02716732327
109	0.02706904847
110	0.02689675332
111	0.02665904856
112	0.02658371395
113	0.02635476299
114	0.02626520806
115	0.02617618725
116	0.02608993492
117	0.02589884258
118	0.02582525614
119	0.02567109129
120	0.02549363834
121	0.0254209328
122	0.02534791284
123	0.02528226261
124	0.02523415293
125	0.02509250245
126	0.02499994714
127	0.02492332467
128	0.02484754647
129	0.02476942223
130	0.02462475312
131	0.02456947905
132	0.02452099471
133	0.02439563035
134	0.02427352325
135	0.02420302345
136	0.02413675931
137	0.02408359528
138	0.02403763976
139	0.02398784919
140	0.02393955343
141	0.02379404666
142	0.02373147443
143	0.02368309188
144	0.02363417308
145	0.02359700125
146	0.02348725114
147	0.02342655481
148	0.0233937757
149	0.02335295531
150	0.02331663769
151	0.02326356918
152	0.02315969581
153	0.02308524435
154	0.02303181402
155	0.02299059707
156	0.02291156398
157	0.02288074724
158	0.02283079727
159	0.02276544607
160	0.02271827448
161	0.0226936993
162	0.02264586784
163	0.0226037805
164	0.02256027725
165	0.02251623693
166	0.02248728584
167	0.0224534466
168	0.02241683413
169	0.02238614176
170	0.02232353541
171	0.02225439203
172	0.02222396965
173	0.02220369688
174	0.02217131749
175	0.02211819748
176	0.02207428451
177	0.0220389505
178	0.02198704146
179	0.02195493839
180	0.02193223294
181	0.02190366788
182	0.02187892779
183	0.02181992705
184	0.02178359849
185	0.02174826735
186	0.02170780691
187	0.02167393174
188	0.02164985113
189	0.02161024555
190	0.02159037494
191	0.02155315608
192	0.02150396625
193	0.02146138438
194	0.0214271179
195	0.02137600492
196	0.02134162084
197	0.02130616404
198	0.02128601348
199	0.02124648688
200	0.0211989036
201	0.02117218959
202	0.02113759434
203	0.02111791729
204	0.02110432555
205	0.02107194735
206	0.02104031915
207	0.02101123049
208	0.0209788837
209	0.02095338745
210	0.0209298469
211	0.02090741311
212	0.02088799873
213	0.0208782888
214	0.02086483225
215	0.02084667105
216	0.02083814036
217	0.02081153648
218	0.02077133502
219	0.02073097969
220	0.02071119393
221	0.02069365134
222	0.02066343492
223	0.02065656713
224	0.02064016611
225	0.02061697382
226	0.0206058406
227	0.02059870104
228	0.02059331041
229	0.02058044641
230	0.02055131365
231	0.0205298849
232	0.02052247879
233	0.02050927935
234	0.02050018438
235	0.02049459725
236	0.02047442512
237	0.0204596864
238	0.02042193938
239	0.02041444758
240	0.02039379893
241	0.02037178543
242	0.02033771456
243	0.02033052552
244	0.02030525144
245	0.02027908873
246	0.02025318214
247	0.02023585966
248	0.02022244755
249	0.02020494284
250	0.02018480283
251	0.02016419497
252	0.02015835817
253	0.02014172208
254	0.0201237687
255	0.02009865367
256	0.02007654082
257	0.02006314648
258	0.02003839508
259	0.02003368977
260	0.01999832184
261	0.01998344587
262	0.01997765934
263	0.01995349412
264	0.01994813022
265	0.01991943041
266	0.01989864217
267	0.01988038713
268	0.01986712142
269	0.01985085887
270	0.01983740352
271	0.01982474482
272	0.01981276177
273	0.01980054129
274	0.01978459049
275	0.01977338539
276	0.01976148123
277	0.01974443973
278	0.01972948545
279	0.01970783255
280	0.01969090865
281	0.01968121484
282	0.01967013759
283	0.01965286103
284	0.0196326136
285	0.0196184867
286	0.01960822549
287	0.0195979062
288	0.01957797976
289	0.01956598403
290	0.0195594915
291	0.01954625967
292	0.01953384804
293	0.01950943789
294	0.01949793832
295	0.01947811434
296	0.01946674746
297	0.01945090723
298	0.01943840091
299	0.01942392671
300	0.01940206903
301	0.01938577207
302	0.01937562693
303	0.01935645734
304	0.01934270226
305	0.01933222644
306	0.01930852521
307	0.01929771201
308	0.01928989905
309	0.01927329603
310	0.01925553003
311	0.01924184325
312	0.0192321456
313	0.01922488461
314	0.01922198113
315	0.0192038795
316	0.01918073756
317	0.01916735605
318	0.01915184446
319	0.01914307374
320	0.01912745078
321	0.01911110772
322	0.01908714075
323	0.01905724267
324	0.01904060751
325	0.01902509186
326	0.01901169862
327	0.01898941416
328	0.01898268134
329	0.01896827387
330	0.01896449925
331	0.01895355005
332	0.01893886902
333	0.01892543708
334	0.01891378881
335	0.01889253711
336	0.01887822557
337	0.01885719777
338	0.01885367639
339	0.01883310704
340	0.01881163918
341	0.01879441427
342	0.01878174686
343	0.01877774911
344	0.01876333314
345	0.01874683482
346	0.01874368309
347	0.01873254667
348	0.01872169277
349	0.01871291246
